Date,Open,High,Low,Close,Adj Close,Volume
2015-10-14,121.000000,121.309998,119.900002,120.050003,105.394188,187400
2015-10-15,121.739998,122.550003,121.250000,122.440002,107.492416,263300
2015-10-16,123.639999,124.150002,123.220001,123.959999,108.826843,265200
2015-10-19,123.349998,123.570000,122.820000,123.550003,108.466911,164700
2015-10-20,122.680000,122.900002,122.160004,122.209999,107.290482,244100
2015-10-21,124.040001,124.849998,123.599998,123.699997,108.598595,162900
2015-10-22,124.730003,125.580002,124.449997,125.230003,109.941818,271200
2015-10-23,125.400002,125.959999,125.000000,125.739998,110.389542,215200
2015-10-26,125.660004,125.839996,125.000000,125.330002,110.029594,218500
2015-10-27,124.889999,125.199997,124.519997,124.830002,109.590645,206000
2015-10-28,125.330002,126.449997,124.930000,126.360001,110.933853,193100
2015-10-29,123.330002,123.410004,122.459999,123.239998,108.194748,267800
2015-10-30,123.220001,123.559998,122.589996,122.620003,107.650444,196600
2015-11-02,123.180000,123.510002,122.860001,123.300003,108.247421,573400
2015-11-03,123.349998,123.519997,122.860001,123.389999,108.326447,569600
2015-11-04,123.480003,123.889999,123.070000,123.559998,108.475685,302200
2015-11-05,124.650002,125.190002,124.599998,124.860001,109.616974,319600
2015-11-06,123.169998,123.190002,122.290001,122.919998,107.913818,277500
2015-11-09,122.919998,122.989998,121.709999,122.220001,107.299271,189000
2015-11-10,123.199997,123.730003,123.080002,123.589996,108.502014,202700
2015-11-11,124.040001,124.040001,123.230003,123.230003,108.185959,146800
2015-11-12,122.889999,122.889999,121.510002,121.730003,106.869087,282000
2015-11-13,122.139999,122.489998,121.199997,121.269997,106.465248,289500
2015-11-16,121.000000,122.089996,120.989998,122.040001,107.141243,183900
2015-11-17,122.790001,123.680000,122.550003,123.150002,108.115738,225000
2015-11-18,123.610001,124.949997,123.379997,124.910004,109.660873,217500
2015-11-19,123.860001,124.470001,123.760002,123.889999,108.765381,213000
2015-11-20,124.029999,124.139999,123.349998,123.669998,108.572258,158700
2015-11-23,123.599998,123.889999,122.660004,123.120003,108.089401,175700
2015-11-24,123.809998,124.190002,123.239998,124.019997,108.879517,242600
2015-11-25,124.019997,124.019997,123.610001,123.860001,108.739052,110500
2015-11-27,124.480003,124.739998,124.260002,124.370003,109.186798,63900
2015-11-30,124.800003,124.839996,124.199997,124.419998,109.230705,189700
2015-12-01,125.750000,126.379997,125.550003,125.919998,110.547562,201100
2015-12-02,126.809998,127.050003,125.470001,125.739998,110.389542,252600
2015-12-03,126.629997,126.650002,124.529999,124.720001,109.494064,601400
2015-12-04,124.580002,125.900002,124.580002,125.900002,110.530006,279900
2015-12-07,125.489998,125.599998,124.510002,125.150002,109.871574,161000
2015-12-08,123.099998,123.099998,121.959999,122.519997,107.562645,516000
2015-12-09,124.099998,124.730003,123.050003,123.900002,108.774170,340900
2015-12-10,125.000000,125.400002,124.599998,124.889999,109.643311,255600
2015-12-11,124.040001,124.220001,122.910004,123.669998,108.572258,463000
2015-12-14,123.589996,123.879997,121.669998,122.500000,107.545082,414400
2015-12-15,122.570000,122.970001,122.120003,122.169998,107.255379,245200
2015-12-16,125.059998,126.889999,124.849998,126.660004,111.197235,493100
2015-12-17,126.349998,126.629997,124.709999,124.800003,109.564301,352800
2015-12-18,124.830002,125.000000,123.949997,124.389999,109.204353,359000
2015-12-21,124.750000,125.389999,123.650002,124.650002,109.432602,274100
2015-12-22,125.480003,126.000000,124.800003,125.580002,110.249077,332800
2015-12-23,126.660004,127.279999,126.230003,127.150002,111.627403,298400
2015-12-24,125.400002,126.110001,125.400002,125.769997,110.415871,102300
2015-12-28,124.430000,124.849998,124.230003,124.470001,109.274597,283800
2015-12-29,124.089996,125.080002,124.089996,124.760002,109.529182,160400
2015-12-30,124.400002,124.430000,123.110001,123.220001,108.177185,334100
2015-12-31,123.349998,124.330002,122.650002,123.040001,108.019157,221000
2016-01-04,121.519997,122.260002,120.169998,121.459999,106.632050,413500
2016-01-05,121.540001,121.540001,120.160004,121.139999,106.351112,306400
2016-01-06,118.570000,118.800003,117.760002,118.379997,103.928062,277600
2016-01-07,116.080002,116.639999,115.459999,115.570000,101.461113,407500
2016-01-08,116.320000,116.680000,112.919998,113.059998,99.257523,635800
2016-01-11,114.260002,114.879997,113.459999,114.809998,100.793877,511500
2016-01-12,116.650002,116.720001,114.470001,115.830002,101.689369,341200
2016-01-13,117.199997,117.360001,114.540001,114.989998,100.951920,345800
2016-01-14,115.370003,116.629997,114.209999,116.290001,102.093216,354100
